Average,189 Wh/km
Volkswagen ID. Buzz LWB GTX,242
Hongqi E-HS9 99 kWh,243
Hongqi E-HS9 120 kWh,243
Citroen e-SpaceTourer M 50 kWh,257
Citroen e-SpaceTourer XL 50 kWh,257
Peugeot e-Traveller L2 50 kWh,257
Peugeot e-Traveller L3 50 kWh,257
Opel Zafira-e Life L2 50 kWh,257
Opel Zafira-e Life L3 50 kWh,257
Toyota PROACE Verso M 50 kWh,257
Citroen e-SpaceTourer M 75 kWh,262
Citroen e-SpaceTourer XL 75 kWh,262
Peugeot e-Traveller L2 75 kWh,262
Peugeot e-Traveller L3 75 kWh,262
Opel Zafira-e Life L2 75 kWh,262
Opel Zafira-e Life L3 75 kWh,262
Toyota PROACE Verso M 75 kWh,262
Toyota PROACE Verso L 75 kWh,262
Mercedes-Benz eVito Tourer Long 60 kWh,273
Mercedes-Benz EQV 250 Long,279
Mercedes-Benz eVito Tourer Extra-Long 60 kWh,279
Mercedes-Benz eVito Tourer Long 90 kWh,281
Mercedes-Benz EQV 250 Extra-Long,286
Mercedes-Benz EQV 300 Long,286
Mercedes-Benz EQV 300 Extra-Long,286
Mercedes-Benz G 580,322
