name,address,full_address,lat,lon,node
Công Ty TNHH Cửu Long,339/39 Hem 339 Le Van Sy,"339/39 Hem 339 Le Van Sy, nan, nan, Quan 3, nan",10.785923,106.677186,12654293619
Nhà Hàng Bích Liên,351/49B Lê Văn Sỹ,"351/49B Lê Văn Sỹ, nan, nan, nan, nan",10.786249,106.676706,12654293620
Techcombank,9-11 Tôn Ðức Thắng,"9-11 Tôn Ðức Thắng, nan, nan, nan, nan",10.78197,106.706164,10737455883
Cà Phê Press,14 Alexandre de Rhodes,"14 Alexandre de Rhodes, nan, nan, nan, nan",10.779376,106.6960124,411918854
Columbia Asia Saigon,8 Alexandre de Rhodes,"8 Alexandre de Rhodes, nan, nan, nan, nan",10.7795758,106.6965213,411918866
OCB Bank,12 Tôn Đản,"12 Tôn Đản, nan, nan, nan, nan",10.7621939,106.7078685,366434313
Khách Sạn Tư Trung,12 Phan Huy ích,"12 Phan Huy ích, nan, nan, nan, nan",10.8441378,106.6398967,6645682799
Cà Phê Eleven,29 Đường Lê Anh Xuân,"29 Đường Lê Anh Xuân, nan, nan, nan, nan",10.7716401,106.6951331,4608280833
Cà Phê & Nhà Hàng IRIS18,78 Đường số 8,"78 Đường số 8, nan, Bình Chánh, Ho Chi Minh City, nan",10.7358783,106.6915593,2370358098
Sacombank,29 Đường Số 9A,"29 Đường Số 9A, nan, nan, nan, nan",10.7385696,106.6898769,6496185034
Nhà Hàng Soya Pudding,172 Bùi Thị Xuân,"172 Bùi Thị Xuân, nan, nan, nan, nan",10.767854,106.686372,12584655705
Lotteria,283 Võ Văn Ngân,"283 Võ Văn Ngân, nan, nan, nan, nan",10.8499193,106.7680969,366451012
Quán Ăn Hương Sơn,81 Đường số 12,"81 Đường số 12, nan, nan, nan, nan",10.788971,106.731403,9870038881
Curves,"Tầng trệt, 27B Nguyễn Ðình Chiểu","Tầng trệt, 27B Nguyễn Ðình Chiểu, nan, 1, Ho Chi Minh City, nan",10.7865584,106.7005867,411918272
Nhà Hàng Goldfish,73 Mạc Thị Bưởi,"73 Mạc Thị Bưởi, nan, nan, nan, nan",10.7746812,106.7042541,411919580
Cửa Hàng Thời Trang Uniqlo,49 Ðồng Khởi,"49 Ðồng Khởi, nan, nan, nan, nan",10.7739546,106.7051387,11140371367
DongA bank,344 Võ Văn Ngân,"344 Võ Văn Ngân, nan, nan, nan, nan",10.849505,106.7712467,366449145
Viện Khoa Học Xã Hội Vùng Nam Bộ,270 Nguyễn Trọng Tuyển,"270 Nguyễn Trọng Tuyển, nan, Phú Nhuận, HCMC, nan",10.7980161,106.6721402,2353049576
Quán Cơm Sinh Viên,350 Võ Văn Ngân,"350 Võ Văn Ngân, nan, nan, nan, nan",10.849584,106.7713821,2024972876
Bưu Cục Bình Thọ,378 Võ Văn Ngân,"378 Võ Văn Ngân, nan, nan, nan, nan",10.8495292,106.7724282,5755653756
Thành Ủy Thủ Đức,40 Nguyễn Văn Bá,"40 Nguyễn Văn Bá, nan, nan, nan, nan",10.8483232,106.7723287,366475114
Công An TP.Thủ Đức,371 Nguyễn Khuyến,"371 Nguyễn Khuyến, nan, nan, nan, nan",10.8488376,106.7686789,366412033
Curves,43-45 Hồ Tùng Mậu,"43-45 Hồ Tùng Mậu, nan, 1, Ho Chi Minh City, nan",10.7713495,106.704064,2730493477
Trạm Y Tế Phường Linh Chiểu,2 Chương Dương,"2 Chương Dương, nan, nan, nan, nan",10.8510831,106.7599561,366448285
Công An Phường Linh Chiểu,117 Võ Văn Ngân,"117 Võ Văn Ngân, nan, nan, nan, nan",10.8507239,106.7602604,366419447
Cơm Chiên Gà Xối Mỡ Lê Châu,53 Chu Mạnh Chinh,"53 Chu Mạnh Chinh, nan, nan, nan, nan",10.8475454,106.7686038,366426287
The Aven,129 Đường Thống Nhất,"129 Đường Thống Nhất, nan, Thủ Đức, Thành phố Thủ Đức, VI",10.8481894,106.7712708,2505573668
Phòng Tài nguyên – Môi trường quận Thủ Đức,1 Tagore,"1 Tagore, nan, nan, nan, nan",10.8481913,106.7719571,366412919
Phòng Giáo dục và đào tạo quận Thủ Đức,4 Nguyễn Công Trứ,"4 Nguyễn Công Trứ, nan, nan, nan, nan",10.8475367,106.7714375,366420475
MB Bank,282 Võ Văn Ngân,"282 Võ Văn Ngân, nan, nan, nan, nan",10.8496498,106.7696026,366408509
BIDV,33 Nguyễn Văn Bá,"33 Nguyễn Văn Bá, nan, nan, nan, nan",10.8458472,106.7710839,366405065
Nhà Thuốc Bích Liên,374 Võ Văn Ngân,"374 Võ Văn Ngân, nan, nan, nan, nan",10.8494185,106.7719824,2217824795
Sacombank,231 Võ Văn Ngân,"231 Võ Văn Ngân, nan, nan, nan, nan",10.8509888,106.7640319,3104265000
Vietinbank,1 Võ Văn Ngân,"1 Võ Văn Ngân, nan, nan, nan, nan",10.8513519,106.755044,5762874769
Honda - Trung Tâm Bảo Hành,703 Kha Vạn Cân,"703 Kha Vạn Cân, nan, TP.Thủ Đức, nan, nan",10.8513946,106.7546938,2332788955
Chợ Bầu Sen,370 Đường An Dương Vương,"370 Đường An Dương Vương, nan, nan, nan, nan",10.7591345,106.6783466,366466647
Nhà Hàng Pitchers Sports And Grill,C0-01 Riverside Nguyễn Lương Bằng,"C0-01 Riverside Nguyễn Lương Bằng, nan, District 7, Hồ Chí Minh, nan",10.7190379,106.7271116,1628403330
Chợ Phường 10,183 Đường Lý Thái Tổ,"183 Đường Lý Thái Tổ, nan, nan, nan, nan",10.7676535,106.6733812,6705220914
Hồ Thị Kỷ,306 Đường Lý Thái Tổ,"306 Đường Lý Thái Tổ, nan, nan, nan, nan",10.7673926,106.6756642,411923825
Ngã ba Hồ Thị Kỷ,27B Đường Lý Thái Tổ,"27B Đường Lý Thái Tổ, nan, nan, nan, nan",10.7672304,106.6756198,2498090913
Trạm Xe Bus Ký Túc Xá Đại học Y Dược,546 Đường Ngô Gia Tự,"546 Đường Ngô Gia Tự, nan, nan, nan, nan",10.7578287,106.6674938,6751175533
Ngã ba Hoàng Hoa Thám,150 Trường Chinh,"150 Trường Chinh, nan, nan, nan, nan",10.7959663,106.6477825,11452099363
Nhà thờ Đắc Lộ,Đối diện 160B Trường Chinh,"Đối diện 160B Trường Chinh, nan, nan, nan, nan",10.7949952,106.6492935,366418858
Ngã ba Hoàng Hoa Thám,Đối diện 174 - 176 Trường Chinh,"Đối diện 174 - 176 Trường Chinh, nan, nan, nan, nan",10.7966321,106.6462482,11443990833
Ngã ba Trương Công Định,215 - 217 Trường Chinh,"215 - 217 Trường Chinh, nan, nan, nan, nan",10.7991248,106.6415737,11438217257
Chợ Võ Thành Trang,4/16 Trường Chinh,"4/16 Trường Chinh, nan, nan, nan, nan",10.8014473,106.6376354,2409408730
Chợ Võ Thành Trang,480 Trường Chinh,"480 Trường Chinh, nan, nan, nan, nan",10.8012641,106.6376031,6631169233
Ngã tư Tân Kỳ Tân Quý,638 Trường Chinh,"638 Trường Chinh, nan, nan, nan, nan",10.804763,106.6355732,5757491902
Mũi tàu Cộng Hòa,19B1 Trường Chinh,"19B1 Trường Chinh, nan, nan, nan, nan",10.8081911,106.6346364,11453123758
Đài Liệt sĩ,1/3 Trường Chinh,"1/3 Trường Chinh, nan, nan, nan, nan",10.8086734,106.6340665,2079964001
Ngã ba Chế Lan Viên,9B Trường Chinh,"9B Trường Chinh, nan, nan, nan, nan",10.8121668,106.6334489,2091954845
Ngã ba Chế Lan Viên,2 Trường Chinh,"2 Trường Chinh, nan, nan, nan, nan",10.8144752,106.6322747,5735879410
Khu công nghiệp Tân Bình,906 Trường Chinh,"906 Trường Chinh, nan, nan, nan, nan",10.8223716,106.6303178,5719079020
Chùa Lạc Quang,408 Trường Chinh,"408 Trường Chinh, nan, nan, nan, nan",10.8346225,106.620731,2276515365
Tây Thạnh,363 Lê Trọng Tấn,"363 Lê Trọng Tấn, nan, nan, nan, nan",10.8077962,106.6198625,12075080665
Hà Tôn Quyền,1231 Đường 3 Tháng 2,"1231 Đường 3 Tháng 2, nan, nan, nan, nan",10.7594595,106.6521345,4927819022
Lê Đại Hành,1029 Đường 3 Tháng 2,"1029 Đường 3 Tháng 2, nan, nan, nan, nan",10.7615989,106.6560305,2434653582
Vòng xoay Cây Gõ,242 Minh Phụng,"242 Minh Phụng, nan, nan, nan, nan",10.7534816,106.6430956,5813728854
Thế Giới Di Động,1A Nguyễn Kiệm,"1A Nguyễn Kiệm, nan, nan, Ho Chi Minh City, nan",10.8145836,106.6784933,4719951876
Nhà Sách Thăng Long,2Bis Nguyễn Thị Minh Khai,"2Bis Nguyễn Thị Minh Khai, nan, 1, nan, nan",10.7895287,106.703993,2403044879
Trường CĐ Kinh Tế Đối Ngoại TP.HCM,76 Phan Xích Long,"76 Phan Xích Long, nan, nan, nan, nan",10.7997159,106.6850579,11039515895
Vikki Bank,130 Phan Đăng Lưu,"130 Phan Đăng Lưu, nan, nan, nan, nan",10.8022749,106.6831713,366473119
Nha Khoa Nụ Cười Duyên,15-17 Đường Cách Mạng Tháng Tám,"15-17 Đường Cách Mạng Tháng Tám, nan, 1, hồ chi minh, nan",10.7716248,106.6930005,4610643517
Nha Khoa Sài Gòn Smile,98A Phan Đăng Lưu,"98A Phan Đăng Lưu, nan, Phú Nhuận, Phường 3, nan",10.8033062,106.6843271,366381386
Nam Thiên Nhất Trụ,511 Đặng Văn Bi,"511 Đặng Văn Bi, nan, nan, nan, nan",10.8434585,106.7627867,366422683
Thế Giới Di Động,153B Phan Đăng Lưu,"153B Phan Đăng Lưu, nan, nan, Ho Chi Minh City, nan",10.8017864,106.6832464,2351177730
Khách Sạn Liên Phương,261 Hai Bà Trưng,"261 Hai Bà Trưng, nan, 3, Phường 6, nan",10.7876735,106.6920492,12363632344
Cà Phê Trần,81 Bến Vân Đồn,"81 Bến Vân Đồn, nan, Quận 4, nan, nan",10.7647704,106.7015087,1767909424
Quán Bar Blanchy's Tash,95 Hai Bà Trưng,"95 Hai Bà Trưng, nan, Quận 1, Ho Chi Minh City, nan",10.777243,106.7041882,411926378
Bảo Hiểm Bảo Việt,65 Thống Nhất,"65 Thống Nhất, nan, nan, nan, nan",10.846758,106.7704314,366407645
Khách Sạn PP BackPackers,283/41 Phạm Ngũ Lão,"283/41 Phạm Ngũ Lão, nan, 1, HoChiMinh Cit, nan",10.7673302,106.6908055,4615529268
Cà Phê Yes,113 Đặng Dung,"113 Đặng Dung, nan, nan, nan, nan",10.792289,106.688214,411917825
Đẹp Shop,312A Huỳnh Văn Bánh,"312A Huỳnh Văn Bánh, nan, nan, nan, nan",10.7919655,106.6732202,710021175
Tous les Jours,302 3 Tháng 2,"302 3 Tháng 2, nan, nan, nan, nan",10.7701407,106.6713545,3301809362
Sea Bank,320-322 Đường 3 Tháng 2,"320-322 Đường 3 Tháng 2, nan, nan, nan, nan",10.7699671,106.6710016,4629145035
Thái Phiên,1479 3 Tháng 2,"1479 3 Tháng 2, nan, nan, nan, nan",10.7560911,106.6459619,5552002855
